          25
 0.298387E+02  0.431788E+04  0.428728E+04  0.429344E+04  0.428728E+04  0.718851E+02  0.164005E+05  0.164239E+05  0.665650E+00
 0.290481E+02  0.370420E+04  0.367899E+04  0.156784E+02  0.100015E+02  0.685540E+02  0.110928E+04  0.168729E+04  0.391010E+00
 0.282029E+02  0.312629E+04  0.310596E+04  0.659363E+01  0.164717E+01  0.650667E+02  0.260819E+03  0.782716E+03  0.723520E-01
 0.273027E+02  0.259131E+04  0.257529E+04  0.518761E+01  0.101331E+01  0.614397E+02  0.105939E+03  0.200693E+03  0.105608E-01
 0.263422E+02  0.210540E+04  0.209309E+04  0.440594E+01  0.984288E+00  0.576709E+02  0.823846E+02  0.952193E+02  0.185096E-01
 0.253058E+02  0.167320E+04  0.166401E+04  0.368589E+01  0.962893E+00  0.537240E+02  0.753875E+02  0.785287E+02  0.375420E-01
 0.242168E+02  0.129759E+04  0.129095E+04  0.300026E+01  0.899550E+00  0.497132E+02  0.704958E+02  0.722845E+02  0.593825E-01
 0.230630E+02  0.979436E+03  0.974794E+03  0.236818E+01  0.802601E+00  0.456179E+02  0.659253E+02  0.676668E+02  0.831980E-01
 0.218476E+02  0.717481E+03  0.714363E+03  0.180807E+01  0.684985E+00  0.414754E+02  0.614580E+02  0.635070E+02  0.109079E+00
 0.205815E+02  0.508461E+03  0.506456E+03  0.133146E+01  0.559302E+00  0.373470E+02  0.570914E+02  0.595737E+02  0.137288E+00
 0.192623E+02  0.347364E+03  0.346137E+03  0.942396E+00  0.436267E+00  0.332458E+02  0.528498E+02  0.557928E+02  0.168168E+00
 0.179017E+02  0.227877E+03  0.227165E+03  0.638760E+00  0.324101E+00  0.292257E+02  0.487765E+02  0.521284E+02  0.201846E+00
 0.165149E+02  0.142931E+03  0.142543E+03  0.412882E+00  0.228475E+00  0.253427E+02  0.449152E+02  0.485764E+02  0.238353E+00
 0.151041E+02  0.853086E+02  0.851112E+02  0.253274E+00  0.152129E+00  0.216103E+02  0.412981E+02  0.451456E+02  0.277605E+00
 0.136881E+02  0.481948E+02  0.481020E+02  0.146695E+00  0.951376E-01  0.180869E+02  0.379542E+02  0.418482E+02  0.319072E+00
 0.122831E+02  0.256217E+02  0.255820E+02  0.798178E-01  0.555499E-01  0.148237E+02  0.348964E+02  0.387041E+02  0.361568E+00
 0.109665E+02  0.131861E+02  0.131701E+02  0.419486E-01  0.310349E-01  0.120020E+02  0.322564E+02  0.358641E+02  0.402016E+00
 0.979284E+01  0.678651E+01  0.678020E+01  0.219697E-01  0.171053E-01  0.971066E+01  0.300977E+02  0.334238E+02  0.438535E+00
 0.874269E+01  0.349298E+01  0.349057E+01  0.114584E-01  0.932355E-02  0.786596E+01  0.283505E+02  0.313280E+02  0.471900E+00
 0.780047E+01  0.179788E+01  0.179701E+01  0.593632E-02  0.503578E-02  0.638922E+01  0.269943E+02  0.295312E+02  0.504467E+00
 0.695489E+01  0.925429E+00  0.925133E+00  0.305154E-02  0.269456E-02  0.520609E+01  0.260346E+02  0.280595E+02  0.537472E+00
 0.619822E+01  0.476370E+00  0.476276E+00  0.156260E-02  0.142699E-02  0.425021E+01  0.254101E+02  0.269606E+02  0.567813E+00
 0.552420E+01  0.245222E+00  0.245196E+00  0.799044E-03  0.749537E-03  0.346853E+01  0.250260E+02  0.261644E+02  0.593717E+00
 0.492596E+01  0.126237E+00  0.126231E+00  0.407880E-03  0.391424E-03  0.282396E+01  0.248315E+02  0.255870E+02  0.616079E+00
 0.439516E+01  0.649861E-01  0.649861E-01  0.212869E-03  0.208165E-03  0.229293E+01  0.243286E+02  0.247285E+02  0.627340E+00

 0.419449E+03  0.522635E+05  0.428728E+04  0.407035E+06  0.428716E+04  0.153369E+04  0.176735E+04  0.164243E+05 -0.343328E-01
 0.113568E+03  0.156931E+04  0.367899E+04  0.536170E+05  0.364656E+05  0.579651E+03  0.137440E+04  0.141519E+04  0.189797E+00
 0.917605E+02  0.209148E+04  0.310596E+04  0.531111E+04  0.362726E+04  0.425909E+03  0.873004E+03  0.972088E+03  0.275848E+00
 0.768756E+02  0.195500E+04  0.257529E+04  0.140009E+04  0.794937E+03  0.328351E+03  0.524689E+03  0.618263E+03  0.233153E+00
 0.702553E+02  0.153677E+04  0.209309E+04  0.647316E+03  0.286399E+03  0.287627E+03  0.361416E+03  0.405938E+03  0.177221E+00
 0.656752E+02  0.116065E+04  0.166401E+04  0.390311E+03  0.139392E+03  0.260417E+03  0.297746E+03  0.303833E+03  0.135037E+00
 0.614329E+02  0.860605E+03  0.129095E+04  0.260917E+03  0.813221E+02  0.235856E+03  0.264054E+03  0.249921E+03  0.108960E+00
 0.573155E+02  0.628389E+03  0.974794E+03  0.180763E+03  0.529458E+02  0.212543E+03  0.239295E+03  0.216801E+03  0.954337E-01
 0.533230E+02  0.452021E+03  0.714363E+03  0.126033E+03  0.366553E+02  0.190375E+03  0.218113E+03  0.194117E+03  0.906614E-01
 0.494445E+02  0.319953E+03  0.506456E+03  0.870802E+02  0.261157E+02  0.169226E+03  0.198796E+03  0.176914E+03  0.922176E-01
 0.456902E+02  0.222136E+03  0.346137E+03  0.590544E+02  0.187364E+02  0.149142E+03  0.180714E+03  0.162578E+03  0.988474E-01
 0.420478E+02  0.150522E+03  0.227165E+03  0.389864E+02  0.133393E+02  0.130102E+03  0.163543E+03  0.149861E+03  0.110428E+00
 0.384843E+02  0.988410E+02  0.142543E+03  0.248443E+02  0.930776E+01  0.112046E+03  0.147082E+03  0.138093E+03  0.127585E+00
